date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:57:10	949/949	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2026%20Apr%202021%2010:57:12%20GMT	https://www.tareequljannah.com/resources/assets/images/social-1/linkedin.png	E:/htttrack/a/www.tareequljannah.com/resources/assets/images/social-1/linkedin.png	(from https://www.tareequljannah.com/resources/assets/css/content_slider_style.css)
03:57:10	949/949	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2026%20Apr%202021%2010:57:12%20GMT	https://www.tareequljannah.com/resources/assets/images/social-1/envato.png	E:/htttrack/a/www.tareequljannah.com/resources/assets/images/social-1/envato.png	(from https://www.tareequljannah.com/resources/assets/css/content_slider_style.css)
03:57:11	949/949	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2026%20Apr%202021%2010:57:13%20GMT	https://www.tareequljannah.com/resources/assets/images/social-1/deviant.png	E:/htttrack/a/www.tareequljannah.com/resources/assets/images/social-1/deviant.png	(from https://www.tareequljannah.com/resources/assets/css/content_slider_style.css)
03:57:11	949/949	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2026%20Apr%202021%2010:57:13%20GMT	https://www.tareequljannah.com/resources/assets/images/social-2/facebook.png	E:/htttrack/a/www.tareequljannah.com/resources/assets/images/social-2/facebook.png	(from https://www.tareequljannah.com/resources/assets/css/content_slider_style.css)
03:57:11	949/949	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2026%20Apr%202021%2010:57:13%20GMT	https://www.tareequljannah.com/resources/assets/images/social-2/twitter.png	E:/htttrack/a/www.tareequljannah.com/resources/assets/images/social-2/twitter.png	(from https://www.tareequljannah.com/resources/assets/css/content_slider_style.css)
03:57:12	949/949	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2026%20Apr%202021%2010:57:13%20GMT	https://www.tareequljannah.com/resources/assets/images/social-2/pinterest.png	E:/htttrack/a/www.tareequljannah.com/resources/assets/images/social-2/pinterest.png	(from https://www.tareequljannah.com/resources/assets/css/content_slider_style.css)
03:57:12	949/949	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2026%20Apr%202021%2010:57:14%20GMT	https://www.tareequljannah.com/resources/assets/images/social-2/gplus.png	E:/htttrack/a/www.tareequljannah.com/resources/assets/images/social-2/gplus.png	(from https://www.tareequljannah.com/resources/assets/css/content_slider_style.css)
03:57:13	949/949	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2026%20Apr%202021%2010:57:14%20GMT	https://www.tareequljannah.com/resources/assets/images/social-2/youtube.png	E:/htttrack/a/www.tareequljannah.com/resources/assets/images/social-2/youtube.png	(from https://www.tareequljannah.com/resources/assets/css/content_slider_style.css)
03:57:13	949/949	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2026%20Apr%202021%2010:57:14%20GMT	https://www.tareequljannah.com/resources/assets/images/social-2/linkedin.png	E:/htttrack/a/www.tareequljannah.com/resources/assets/images/social-2/linkedin.png	(from https://www.tareequljannah.com/resources/assets/css/content_slider_style.css)
03:57:13	949/949	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2026%20Apr%202021%2010:57:16%20GMT	https://www.tareequljannah.com/resources/assets/images/social-2/envato.png	E:/htttrack/a/www.tareequljannah.com/resources/assets/images/social-2/envato.png	(from https://www.tareequljannah.com/resources/assets/css/content_slider_style.css)
03:57:14	949/949	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2026%20Apr%202021%2010:57:16%20GMT	https://www.tareequljannah.com/resources/assets/images/social-2/deviant.png	E:/htttrack/a/www.tareequljannah.com/resources/assets/images/social-2/deviant.png	(from https://www.tareequljannah.com/resources/assets/css/content_slider_style.css)
03:57:14	949/949	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2026%20Apr%202021%2010:57:16%20GMT	https://www.tareequljannah.com/resources/assets/images/social-3/facebook.png	E:/htttrack/a/www.tareequljannah.com/resources/assets/images/social-3/facebook.png	(from https://www.tareequljannah.com/resources/assets/css/content_slider_style.css)
03:57:14	949/949	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2026%20Apr%202021%2010:57:16%20GMT	https://www.tareequljannah.com/resources/assets/images/social-3/twitter.png	E:/htttrack/a/www.tareequljannah.com/resources/assets/images/social-3/twitter.png	(from https://www.tareequljannah.com/resources/assets/css/content_slider_style.css)
